programid,ProgramName,Abbreviation
1,Administration,AD
2,Board,BO
3,Climate Change Canada,CC
5,Fund Development,FO
8,Program Development,NP
10,Reporting Services,RS
11,Trade and Investment,TI
13,Innovation Fund,IF
14,Communications,OU
16,European Union,EU
17,Experimental Lakes Area,EL
18,Resilience,RL
19,Knowledge,KN
20,Water,WT
21,Economic Law and Policy,LP
22,Energy,ER
23,China,CN
24,Program Direct Overhead,OH
25,Executive,EX
26,Institutional Planning,IP
27,Geneva Office,GE
28,Corporate,CO
29,June 2019 Reserve Allocation,ZA
30,October 2020 Reserve Allocation,ZB
